date,conversions,cost,ad_budget,roas
2025-10-01,21.06,470.12,504.97,5.2566
2025-10-02,21.38,296.85,498.62,9.0608
2025-10-03,28.51,422.76,506.48,7.6151
2025-10-04,31.94,361.33,515.23,10.7547
2025-10-05,27.86,269.23,497.66,11.1222
2025-10-06,22.52,406.08,497.66,6.0735
2025-10-07,33.38,490.23,515.79,7.657
2025-10-08,22.99,343.82,507.67,7.5341
2025-10-09,24.5,368.51,495.31,7.8128
2025-10-10,29.18,412.26,505.43,8.3391
2025-10-11,30.77,371.2,495.37,9.6079
2025-10-12,31.41,447.76,495.34,8.1566
2025-10-13,29.73,430.39,502.42,8.1959
2025-10-14,25.47,310.1,480.87,9.8331
2025-10-15,27.08,398.33,482.75,7.6245
2025-10-16,26.72,439.74,494.38,7.0201
2025-10-17,30.53,380.34,489.87,9.356
2025-10-18,29.14,321.94,503.14,10.7259
2025-10-19,29.35,453.49,490.92,7.3841
2025-10-20,25.82,331.03,485.88,9.0859
2025-10-21,28.39,369.74,514.66,8.9764
2025-10-22,22.92,424.0,497.74,6.1804
2025-10-23,29.9,468.91,500.68,7.285
2025-10-24,30.31,457.02,485.75,7.7692
2025-10-25,34.59,368.42,494.56,10.9232
2025-10-26,30.8,466.34,501.11,7.83
2025-10-27,28.99,372.94,488.49,8.7924
2025-10-28,25.85,398.63,503.76,7.4945
2025-10-29,22.73,365.55,493.99,7.2127
2025-10-30,31.5,456.5,497.08,8.2564
2025-10-31,26.46,301.99,593.98,9.9452
2025-11-01,28.62,470.0,618.52,7.1624
2025-11-02,33.36,554.71,599.87,7.0776
2025-11-03,28.22,500.43,589.42,6.9118
2025-11-04,33.94,590.42,608.23,6.5113
2025-11-05,34.76,533.22,587.79,7.4639
2025-11-06,31.72,453.59,602.09,7.9383
2025-11-07,31.24,523.33,580.4,6.6231
2025-11-08,37.54,540.62,586.72,8.5398
2025-11-09,32.98,378.89,601.97,9.788
2025-11-10,29.18,447.41,607.38,7.4311
2025-11-11,27.05,431.89,601.71,7.6041
2025-11-12,30.53,561.66,598.84,6.015
2025-11-13,34.46,578.57,596.99,7.1145
2025-11-14,39.03,566.23,585.21,7.7097
2025-11-15,38.5,410.37,592.8,11.3678
2025-11-16,34.6,515.57,595.39,7.3282
2025-11-17,29.45,586.78,610.57,5.5537
2025-11-18,32.01,446.61,603.44,8.2346
2025-11-19,29.29,521.7,582.37,6.7487
2025-11-20,28.83,404.45,603.24,8.318
2025-11-21,37.56,496.46,596.15,8.7476
2025-11-22,37.32,499.98,593.23,9.0704
2025-11-23,33.38,488.98,606.12,8.4888
2025-11-24,32.16,529.39,610.31,7.2386
2025-11-25,34.62,472.38,609.31,8.4001
2025-11-26,31.06,517.78,591.61,6.9186
2025-11-27,31.53,508.04,596.91,6.9687
2025-11-28,29.42,289.46,603.31,11.9072
2025-11-29,37.65,485.19,609.76,8.6204
2025-11-30,36.01,450.58,495.21,9.4891
2025-12-01,31.82,437.45,498.14,9.0072
2025-12-02,32.45,437.63,488.94,8.8471
2025-12-03,26.55,431.59,488.04,7.084
2025-12-04,30.66,388.36,508.13,9.3668
2025-12-05,29.82,467.03,513.56,7.8203
2025-12-06,32.91,402.46,499.28,10.001
2025-12-07,33.57,446.37,510.04,8.5196
2025-12-08,30.35,429.17,503.62,8.3863
2025-12-09,28.03,451.02,493.55,7.2245
2025-12-10,24.69,386.18,503.61,7.6482
2025-12-11,31.0,428.53,515.38,8.5466
2025-12-12,39.14,381.48,499.64,11.1318
2025-12-13,34.95,488.24,515.65,8.2737
2025-12-14,34.02,449.79,473.8,8.8868
2025-12-15,32.46,379.18,508.22,9.5685
2025-12-16,29.1,307.27,500.87,11.2544
2025-12-17,28.57,345.46,497.01,9.2179
2025-12-18,26.96,231.1,500.92,13.2994
2025-12-19,31.02,436.84,480.12,8.6277
2025-12-20,26.78,216.49,447.8,14.0652
2025-12-21,25.2,298.25,453.57,10.0387
2025-12-22,30.06,379.42,464.78,8.7668
2025-12-23,27.15,317.3,444.82,10.6181
2025-12-24,27.8,339.24,441.92,9.4841
2025-12-25,25.58,228.96,444.98,13.0865
2025-12-26,31.74,402.03,459.15,9.2708
2025-12-27,39.36,337.48,453.29,13.8706
2025-12-28,31.09,310.86,444.7,11.1491
2025-12-29,26.28,444.17,455.13,6.9095
2025-12-30,27.67,322.21,450.97,9.832
2025-12-31,33.05,444.63,459.69,8.2419
2026-01-01,27.67,313.19,442.98,10.6247
2026-01-02,31.67,302.16,446.72,12.1127
2026-01-03,27.7,411.91,446.08,7.9117
2026-01-04,29.99,304.27,435.36,11.5744
2026-01-05,28.76,399.69,452.96,8.32
2026-01-06,32.9,415.66,452.61,9.7926
2026-01-07,28.48,402.49,450.05,8.253
2026-01-08,26.22,335.92,447.65,8.6906
2026-01-09,31.44,408.32,485.85,8.8854
2026-01-10,32.23,426.12,495.79,8.9667
2026-01-11,30.09,250.16,496.57,14.2735
2026-01-12,27.42,401.9,491.98,7.7087
2026-01-13,27.36,454.18,498.39,7.2323
2026-01-14,34.44,469.6,504.04,8.113
2026-01-15,32.7,470.07,518.86,8.404
2026-01-16,37.23,407.61,501.75,10.2459
2026-01-17,31.93,457.13,502.58,8.103
2026-01-18,31.58,390.4,499.26,9.7499
2026-01-19,31.49,461.75,480.81,7.994
2026-01-20,30.0,453.13,499.73,7.9223
2026-01-21,31.42,394.01,500.6,9.487
2026-01-22,32.24,420.92,524.63,9.2914
2026-01-23,34.39,418.69,498.08,9.8993
2026-01-24,34.67,426.05,503.02,9.3753
2026-01-25,35.93,456.1,499.65,9.3758
2026-01-26,29.03,471.93,488.31,6.8557
2026-01-27,33.2,382.31,511.43,10.1254
2026-01-28,31.6,407.88,507.52,9.2711
